EmployeeID,Age,Gender,Country,Department,JobLevel,YearsAtCompany,MonthlyIncome,NumProjects,LastEvaluationScore,SatisfactionLevel,AvgWorkHoursPerWeek,PromotedLast5Years,HasMentor,RemoteWork,TrainingHours,Certifications,LeavesTaken,FeedbackScore,Attrition
53,39.0,Other,USA,HR,Junior,0,99457.0,5,0.78,5,52,0,1,1,23,0,17,3.9,0
54,47.0,Other,UK,Development,Senior,15,43638.0,7,0.77,2,50,1,0,0,94,2,19,2.7,0
55,55.0,Male,India,Marketing,Junior,2,62114.0,6,0.98,2,35,0,0,0,71,0,14,4.3,1
56,31.0,Female,Germany,HR,Senior,14,,9,0.57,2,35,0,0,0,26,2,12,2.9,0
57,57.0,Male,Germany,Development,Lead,17,140301.0,3,0.73,2,41,0,1,1,17,4,6,4.5,0
58,35.0,Female,Canada,HR,Mid,3,133317.0,2,0.44,1,47,1,0,0,30,2,4,2.1,0
59,52.0,Male,Germany,Development,Junior,5,106147.0,6,0.79,3,51,1,1,1,77,3,0,4.2,0
60,36.0,Other,UK,Sales,Mid,19,55000.0,3,0.91,4,43,1,0,1,67,4,12,3.4,0
61,29.0,Male,Canada,Support,Mid,11,149030.0,4,0.97,1,46,1,1,1,14,1,11,2.6,0
62,35.0,Other,Canada,HR,Junior,9,50114.0,5,0.74,3,40,0,1,1,74,1,0,3.7,0
63,44.0,Female,UK,HR,Mid,2,87386.0,7,0.82,3,50,0,0,1,62,4,20,3.4,0
64,42.0,Other,Germany,HR,Senior,10,103671.0,3,0.9,5,38,1,1,0,62,2,26,2.8,0
65,37.0,Male,India,HR,Junior,15,36262.0,6,0.91,2,47,0,0,1,94,3,11,3.2,0
66,39.0,Male,Canada,Sales,Lead,2,81876.0,4,0.57,4,45,0,0,1,79,1,19,4.0,0
67,45.0,Female,India,Support,Lead,1,124669.0,6,0.79,5,35,1,1,1,18,2,3,3.9,0
68,47.0,Other,India,Support,Junior,15,127210.0,8,,5,38,0,0,1,51,3,17,1.5,0
69,46.0,Female,India,Marketing,Senior,4,86093.0,3,0.96,2,41,1,1,0,9,4,24,4.2,0
70,50.0,Other,India,Sales,Junior,3,77803.0,4,0.51,2,53,0,1,1,52,0,4,1.4,0
71,36.0,Other,UK,Support,Junior,0,94511.0,3,0.95,2,35,0,1,0,87,1,24,4.1,1
72,22.0,Female,USA,Support,Senior,6,107493.0,5,0.96,2,49,1,0,0,54,0,5,4.1,0
73,46.0,Female,Germany,Development,Lead,16,137967.0,7,0.73,4,35,1,1,1,93,3,0,3.6,0
74,28.0,Other,USA,Development,Junior,17,109350.0,1,0.53,3,40,0,0,0,72,1,27,2.2,0
75,30.0,Female,USA,Sales,Mid,13,99635.0,9,0.43,4,47,0,1,0,84,0,29,3.6,1
76,45.0,Other,Canada,Sales,Mid,1,143596.0,4,0.52,3,57,0,0,0,46,0,1,3.4,0
77,22.0,Female,USA,Support,Junior,9,37745.0,7,0.48,5,51,1,1,0,84,4,5,3.4,0
78,29.0,Female,USA,Development,Senior,4,78157.0,9,0.52,1,57,0,0,0,5,1,22,3.2,0
79,45.0,Female,UK,Development,Lead,10,82937.0,4,0.98,5,47,1,0,1,79,1,6,2.3,0
80,32.0,Male,India,Support,Mid,2,74446.0,1,0.5,1,44,0,0,1,98,3,17,4.0,0
81,38.0,Female,USA,Support,Mid,11,143513.0,5,0.72,2,43,1,0,0,66,1,23,2.5,0
82,29.0,Male,USA,Marketing,Senior,17,38447.0,8,0.54,5,45,0,0,1,78,4,8,4.2,1
83,56.0,Other,Canada,HR,Lead,11,44959.0,9,0.44,5,46,1,0,1,5,1,19,3.7,0
84,56.0,Other,Germany,Sales,Mid,7,94988.0,9,0.55,5,58,1,1,0,50,0,7,2.7,0
85,54.0,Female,Canada,Sales,Mid,3,49184.0,6,0.81,2,50,0,0,1,8,3,24,2.8,0
86,26.0,Male,Germany,Marketing,Lead,11,125927.0,2,0.52,4,50,1,1,0,26,3,5,2.4,0
87,49.0,Other,Germany,Development,Junior,15,131356.0,2,0.49,3,35,0,1,0,53,0,23,1.4,0
88,28.0,Male,Germany,HR,Junior,18,146118.0,2,0.46,2,55,0,0,0,0,2,5,1.9,0
89,30.0,Male,UK,Development,Lead,6,71656.0,4,0.49,1,39,0,1,0,68,3,10,2.2,1
90,29.0,Other,UK,Marketing,Mid,18,82398.0,7,0.42,2,45,0,1,1,12,3,19,1.5,0
91,33.0,Male,India,Marketing,Junior,16,63033.0,3,0.51,2,53,1,1,0,38,1,1,3.8,0
92,55.0,Male,Germany,Marketing,Junior,2,32275.0,3,0.95,5,35,0,0,1,13,0,20,2.2,1
93,54.0,Other,UK,Sales,Junior,3,81666.0,2,1.0,4,44,1,0,0,63,1,8,2.9,1
94,44.0,Female,UK,Sales,Mid,4,100739.0,3,0.84,3,48,0,0,1,6,0,28,4.2,0
95,45.0,Female,USA,Development,Lead,10,75986.0,6,0.73,3,56,1,1,0,84,1,0,3.4,0
96,58.0,Male,Germany,Support,Mid,5,140185.0,1,0.44,3,58,0,1,1,71,0,13,4.0,0
97,56.0,Female,Canada,Sales,Lead,19,58716.0,4,,1,58,0,0,1,89,0,0,3.3,0
98,43.0,Other,USA,HR,Senior,11,127621.0,7,0.51,1,53,1,1,1,65,0,18,4.1,1
99,48.0,Other,UK,HR,Mid,15,78242.0,1,0.84,4,36,0,1,0,86,0,1,1.9,0
100,56.0,Other,UK,HR,Mid,14,53938.0,5,0.99,5,57,0,1,0,54,4,16,3.0,0
101,22.0,Male,UK,Marketing,Senior,18,39983.0,7,0.89,4,45,0,1,1,54,1,2,1.9,1
102,56.0,Other,UK,Development,Junior,9,106843.0,3,0.77,2,56,1,1,1,87,2,23,2.9,1
103,58.0,Male,Canada,Marketing,Senior,13,145714.0,2,0.51,1,41,0,0,0,17,2,25,4.3,0
104,35.0,Male,India,HR,Senior,10,58053.0,1,1.0,1,45,0,1,1,51,0,0,1.8,1
105,24.0,Other,India,HR,Junior,18,113562.0,1,0.46,3,58,0,1,1,42,0,0,4.8,0
106,22.0,Other,Germany,Marketing,Junior,0,128031.0,3,0.85,4,42,0,0,0,73,0,14,2.9,0
107,26.0,Male,UK,HR,Lead,1,122119.0,7,0.57,3,51,0,1,0,80,0,25,4.0,1
108,47.0,Other,Germany,HR,Lead,1,98066.0,9,0.41,3,37,1,0,0,62,0,25,2.5,0
109,35.0,Female,Canada,Development,Senior,12,69903.0,9,0.6,4,52,0,0,0,5,1,6,2.2,1
110,48.0,Male,Germany,HR,Senior,7,60025.0,6,0.79,4,49,0,0,1,7,0,6,1.0,1
111,30.0,Male,India,Marketing,Mid,9,52173.0,2,0.95,5,53,0,1,1,61,2,7,1.6,0
112,36.0,Other,India,Marketing,Lead,8,44625.0,7,0.43,3,41,0,1,0,70,2,19,2.6,0
113,36.0,Other,India,Support,Junior,11,106813.0,5,0.89,3,56,0,1,1,27,3,11,4.1,1
114,47.0,Male,Germany,HR,Mid,5,63486.0,5,0.73,3,37,0,0,1,92,3,1,1.1,0
115,34.0,Male,UK,Support,Junior,2,87917.0,6,0.69,3,51,0,0,1,3,0,18,3.6,0
116,53.0,Male,USA,Marketing,Senior,15,55760.0,7,0.85,2,53,1,1,1,48,0,7,3.9,0
117,53.0,Other,India,Support,Lead,1,100165.0,7,0.54,4,52,1,0,1,74,1,13,4.4,0
118,25.0,Male,Germany,HR,Lead,8,123290.0,9,0.8,4,36,1,0,1,78,2,6,3.4,0
119,51.0,Female,USA,Sales,Junior,12,,2,0.59,4,42,1,1,1,65,0,23,2.3,0
120,58.0,Female,India,Development,Senior,7,138200.0,4,0.78,3,45,1,1,1,6,3,8,3.5,1
121,44.0,Other,India,HR,Junior,19,145951.0,7,0.41,5,59,1,0,1,33,1,9,3.0,0
122,36.0,Male,Canada,Support,Lead,0,103829.0,2,0.96,2,58,1,0,0,20,0,12,3.3,1
123,50.0,Male,India,Support,Junior,19,37051.0,7,0.95,2,52,1,0,1,46,4,20,1.9,1
124,57.0,Female,USA,Support,Junior,17,38175.0,6,0.96,1,54,1,1,0,35,0,27,3.2,1
125,34.0,Male,USA,Marketing,Senior,16,122210.0,9,0.44,5,52,0,0,1,75,1,8,4.6,0
126,53.0,Other,UK,HR,Junior,15,123031.0,6,0.49,5,35,0,1,1,82,1,2,4.7,0
127,28.0,Other,USA,Support,Mid,14,126588.0,2,0.94,2,57,1,0,1,9,0,3,1.6,0
128,43.0,Other,Germany,Sales,Junior,12,126644.0,4,0.84,4,37,0,0,0,30,1,28,1.3,0
129,49.0,Male,Germany,HR,Lead,4,81412.0,1,0.67,5,37,0,0,1,90,1,24,4.0,0
130,23.0,Male,India,Marketing,Lead,5,62222.0,4,0.58,4,54,1,1,1,82,2,5,1.7,1
131,,Female,UK,HR,Mid,13,73727.0,7,0.91,2,57,1,0,0,11,2,18,4.7,0
132,49.0,Female,India,Marketing,Senior,16,81174.0,1,0.9,5,58,1,1,0,13,1,28,4.7,0
133,49.0,Other,UK,Marketing,Senior,19,109067.0,1,0.56,3,52,0,0,1,42,4,5,4.6,1
134,41.0,Male,Canada,Development,Junior,17,131839.0,9,0.7,5,52,1,1,1,90,4,13,2.5,0
135,51.0,Male,UK,Development,Junior,1,97696.0,1,0.77,2,44,0,1,0,50,4,26,4.6,1
136,32.0,Other,Canada,Sales,Mid,10,33951.0,7,0.47,3,49,0,1,0,22,4,0,3.3,1
137,49.0,Other,Canada,Support,Lead,1,44022.0,3,0.98,4,58,0,0,1,44,4,26,2.5,0
138,46.0,Female,India,HR,Junior,8,110842.0,8,0.87,2,49,1,1,0,26,3,19,4.2,0
139,,Female,Germany,Support,Junior,15,87125.0,1,0.79,5,44,0,1,1,65,3,14,3.2,0
140,22.0,Other,UK,HR,Mid,7,137071.0,8,0.92,5,46,0,1,1,62,3,5,2.1,0
141,48.0,Male,India,Sales,Junior,2,40490.0,1,0.49,2,45,1,1,1,95,1,0,4.6,0
142,34.0,Female,Canada,Sales,Mid,17,,5,0.81,4,40,1,0,0,64,2,7,2.5,1
143,24.0,Other,Canada,HR,Senior,14,110702.0,5,0.46,3,49,0,0,1,86,2,10,4.4,1
144,27.0,Male,USA,Marketing,Junior,1,66383.0,5,0.51,2,58,1,1,1,12,3,26,3.7,1
145,29.0,Other,USA,Development,Mid,16,36794.0,9,0.55,5,37,0,0,1,86,0,4,4.3,0
146,48.0,Male,UK,HR,Senior,1,42523.0,4,0.71,4,56,1,1,0,13,3,22,3.8,0
147,30.0,Female,Germany,Marketing,Lead,0,87751.0,7,0.48,2,56,1,0,1,32,3,6,3.8,1
148,58.0,Male,USA,HR,Mid,13,87762.0,7,0.79,5,42,1,0,1,14,0,8,2.0,0
149,54.0,Male,Canada,HR,Lead,7,114685.0,8,0.47,1,55,0,1,0,78,3,6,1.4,0
150,45.0,Other,India,HR,Junior,1,128437.0,8,0.57,4,50,0,1,1,28,2,14,3.6,0
151,36.0,Male,Germany,HR,Lead,10,112127.0,6,0.85,2,45,0,1,0,13,0,26,3.6,0
152,53.0,Female,UK,HR,Lead,4,64540.0,4,0.82,4,54,0,1,0,83,4,14,3.0,0
153,53.0,Other,India,Marketing,Mid,5,127701.0,5,0.94,4,59,0,1,0,76,3,19,4.6,0
154,45.0,Other,UK,Sales,Senior,6,136419.0,2,0.75,2,38,1,1,1,94,0,20,3.6,0
155,33.0,Other,India,Development,Junior,2,38263.0,6,0.92,5,53,1,0,1,46,1,24,2.3,0
156,23.0,Other,India,Development,Junior,11,69536.0,4,0.91,5,46,0,0,0,47,0,15,1.4,0
157,24.0,Other,Germany,Marketing,Junior,2,140456.0,2,0.67,4,59,1,0,1,43,1,17,4.8,0
158,,Other,UK,Marketing,Senior,13,86369.0,1,0.91,3,54,1,1,0,16,0,14,3.0,0
159,,Other,USA,HR,Junior,9,108721.0,6,0.83,1,37,0,1,1,77,0,21,3.3,0
160,23.0,Female,India,Sales,Lead,6,90716.0,6,0.51,1,48,1,0,0,81,4,13,2.6,0
161,23.0,Female,India,Sales,Lead,0,31510.0,6,0.76,2,48,1,1,0,91,2,5,1.5,0
162,49.0,Other,USA,Support,Senior,11,50917.0,3,0.64,3,51,0,0,0,75,0,18,2.7,0
163,44.0,Male,Germany,Sales,Senior,7,138997.0,7,0.6,4,57,1,0,1,10,2,15,4.1,0
164,58.0,Other,Germany,HR,Mid,0,97393.0,3,0.76,3,57,0,1,0,20,4,28,2.7,0
165,53.0,Other,Germany,Support,Senior,18,38379.0,7,0.69,5,46,1,0,1,68,4,26,2.8,1
166,54.0,Other,Canada,Marketing,Mid,15,43990.0,9,1.0,5,50,0,0,0,30,0,7,4.9,0
167,22.0,Male,Canada,HR,Junior,15,97438.0,7,0.99,4,59,0,0,1,41,1,1,1.8,0
168,40.0,Female,Germany,Support,Mid,4,30347.0,3,0.79,2,46,1,0,1,11,1,25,2.8,0
169,23.0,Male,Germany,HR,Senior,12,79636.0,6,0.54,3,40,1,0,1,10,0,27,2.9,0
170,47.0,Male,USA,Marketing,Mid,7,145539.0,4,0.76,3,35,1,1,1,26,2,23,1.5,0
171,53.0,Male,Canada,Support,Junior,18,136300.0,8,0.51,4,58,0,0,0,58,3,12,2.3,0
172,27.0,Male,UK,HR,Mid,10,77708.0,8,0.87,4,47,1,1,1,78,4,13,4.3,0
173,53.0,Other,Germany,Development,Junior,19,147422.0,2,0.98,5,41,0,0,0,57,1,19,2.5,1
174,25.0,Female,Germany,Marketing,Senior,13,93961.0,6,0.54,4,46,0,0,1,99,2,26,4.3,0
175,32.0,Male,Germany,Support,Lead,19,84518.0,8,0.67,5,56,0,1,1,5,4,3,2.7,0
176,38.0,Female,India,Development,Junior,5,39376.0,2,0.57,4,55,1,0,1,81,2,16,1.2,1
177,59.0,Other,Canada,Development,Lead,11,79076.0,1,0.41,2,37,1,1,1,97,2,7,4.0,0
178,45.0,Other,UK,Support,Mid,15,57709.0,3,0.98,3,51,0,1,1,64,0,0,2.9,0
179,26.0,Female,India,Sales,Mid,9,,8,0.76,3,42,1,0,0,10,1,23,1.8,0
180,55.0,Other,India,Sales,Lead,10,116258.0,4,0.87,4,45,0,0,0,94,4,18,2.0,1
181,27.0,Female,UK,HR,Mid,18,54522.0,8,1.0,3,54,0,1,0,87,2,1,4.0,0
182,43.0,Male,UK,Support,Senior,15,114078.0,8,0.48,1,36,1,0,1,35,3,28,2.1,0
183,32.0,Other,UK,Support,Mid,8,36572.0,7,0.47,1,57,1,0,1,76,1,12,4.7,0
184,37.0,Other,UK,Development,Senior,11,135447.0,7,0.76,5,44,0,1,1,60,1,13,4.4,0
185,54.0,Female,UK,Development,Senior,2,90193.0,7,0.83,1,51,0,0,1,27,3,3,2.9,1
186,30.0,Other,Germany,Development,Mid,13,38159.0,7,0.6,5,55,0,1,0,49,3,12,2.5,0
187,27.0,Male,UK,Marketing,Senior,13,138827.0,8,0.71,1,43,1,1,1,27,2,3,3.6,1
188,37.0,Other,UK,Sales,Lead,18,122881.0,6,0.53,2,50,0,0,0,69,0,13,2.1,0
189,50.0,Other,Canada,HR,Junior,19,128186.0,2,0.78,2,50,0,1,1,13,3,29,3.5,0
190,24.0,Other,Germany,HR,Junior,19,68424.0,1,0.49,3,51,0,1,1,94,2,3,3.2,1
191,41.0,Female,India,Support,Senior,9,54293.0,7,0.6,5,42,0,1,1,79,1,26,3.7,0
192,57.0,Male,Germany,Development,Junior,6,47371.0,9,0.41,2,36,0,0,1,19,4,5,4.8,0
193,40.0,Male,USA,Support,Junior,13,132862.0,6,0.67,3,40,0,0,0,64,0,23,3.4,0
194,47.0,Other,UK,Sales,Junior,8,120284.0,3,0.53,1,52,0,0,0,33,3,12,1.7,0
195,24.0,Other,India,Marketing,Mid,0,65992.0,6,0.41,2,54,1,1,0,19,2,8,3.3,0
196,40.0,Female,USA,Sales,Lead,0,66820.0,3,0.96,4,53,1,0,0,87,1,5,2.3,0
197,41.0,Male,India,Support,Junior,15,88226.0,8,0.56,1,35,1,1,0,45,3,23,1.1,1
198,53.0,Other,Germany,Development,Junior,3,101467.0,1,0.98,4,37,1,1,0,81,0,20,1.4,1
199,28.0,Male,USA,Support,Junior,10,130853.0,3,0.89,5,55,0,1,1,0,2,28,4.9,0
200,54.0,Other,UK,Development,Junior,10,137258.0,9,0.89,5,37,0,0,0,95,3,9,4.7,0
201,39.0,Other,UK,Development,Junior,4,78716.0,1,0.89,4,54,0,1,0,70,4,2,4.4,1
202,22.0,Female,USA,Support,Senior,18,109521.0,2,0.47,5,40,0,1,0,85,0,10,1.2,0
203,32.0,Male,Germany,Marketing,Senior,4,68917.0,2,0.87,5,59,1,0,0,1,0,14,1.4,1
204,49.0,Male,USA,Support,Mid,9,58614.0,3,0.9,3,47,0,0,1,8,2,9,4.1,1
205,46.0,Other,Germany,Sales,Junior,15,38263.0,7,0.52,3,52,1,0,1,73,3,11,1.7,1
206,44.0,Other,India,Sales,Lead,9,59237.0,8,0.96,4,59,1,0,1,19,2,28,2.4,0
207,52.0,Female,Germany,HR,Mid,5,114523.0,7,0.56,3,37,1,1,1,85,2,10,3.9,1
208,51.0,Other,USA,Sales,Lead,0,120535.0,9,0.97,1,56,0,0,1,86,1,12,2.6,0
209,56.0,Male,USA,Sales,Junior,17,133840.0,1,0.48,3,44,0,0,1,23,0,27,4.9,0
210,,Female,India,Support,Junior,16,63511.0,8,0.99,2,36,0,1,0,95,3,12,4.2,0
211,37.0,Male,USA,Support,Lead,17,148841.0,4,0.99,4,45,0,1,1,25,4,6,1.6,0
212,47.0,Female,Canada,Marketing,Mid,2,132827.0,6,,5,43,1,0,1,20,3,22,4.0,0
213,23.0,Male,USA,Sales,Lead,18,90747.0,1,0.81,3,41,0,0,1,0,0,6,4.4,0
214,22.0,Other,Canada,Marketing,Junior,8,94489.0,2,,5,50,1,1,0,68,3,14,1.3,0
215,33.0,Male,USA,Marketing,Lead,13,106503.0,5,0.63,2,50,0,0,1,80,0,1,3.1,0
216,26.0,Male,USA,Sales,Mid,6,119336.0,2,0.9,5,40,0,1,0,30,0,20,4.2,1
217,58.0,Female,India,Support,Mid,8,147319.0,7,0.51,1,35,0,1,1,9,3,13,3.2,0
218,53.0,Male,Canada,Development,Junior,6,60766.0,5,0.88,3,36,1,1,0,36,4,0,1.4,0
219,30.0,Other,India,Development,Lead,16,77317.0,5,0.45,4,51,1,1,0,35,1,13,2.4,0
220,56.0,Female,Canada,Development,Junior,3,40133.0,1,0.57,4,58,0,1,1,38,1,17,2.3,0
221,40.0,Female,Canada,Marketing,Junior,3,142281.0,2,0.73,1,46,1,1,1,0,3,18,2.3,0
222,37.0,Male,UK,Development,Senior,6,101687.0,1,0.54,1,39,1,0,1,26,4,7,2.7,0
223,24.0,Female,Canada,HR,Junior,12,138073.0,8,0.43,4,45,0,0,1,74,2,19,1.6,0
224,41.0,Other,India,HR,Mid,10,36668.0,2,0.91,4,49,0,1,1,68,4,28,3.0,1
225,45.0,Male,India,Marketing,Lead,18,127562.0,9,0.7,4,53,1,1,1,29,0,10,3.6,0
226,54.0,Other,Germany,Support,Lead,7,136221.0,4,0.78,2,43,0,0,0,35,1,24,2.7,0
227,45.0,Male,USA,Sales,Junior,13,53788.0,1,0.99,2,54,1,1,0,71,4,9,3.0,0
228,32.0,Male,UK,Marketing,Mid,5,,8,0.88,4,38,0,1,1,27,0,7,4.0,0
229,29.0,Female,USA,Development,Mid,10,64307.0,2,0.43,2,57,1,1,0,97,2,23,4.1,1
230,57.0,Female,India,Sales,Lead,6,67806.0,4,1.0,5,58,1,0,0,17,4,15,2.5,0
231,59.0,Female,UK,Support,Lead,15,144088.0,8,1.0,2,44,1,1,1,64,3,1,1.0,0
232,41.0,Male,Canada,Development,Mid,8,94670.0,2,0.92,2,48,1,1,0,20,4,8,4.1,0
233,56.0,Female,India,HR,Senior,4,97676.0,6,0.92,3,42,0,1,0,18,2,4,4.4,0
234,46.0,Other,India,HR,Junior,4,72330.0,4,0.92,4,55,1,1,0,88,0,8,3.5,0
235,56.0,Female,India,Marketing,Mid,13,53810.0,4,0.77,5,50,0,0,1,32,4,25,1.4,0
236,46.0,Other,India,Support,Junior,18,120708.0,4,0.51,5,39,0,1,1,80,2,6,3.0,0
237,50.0,Female,UK,Marketing,Mid,4,46949.0,6,0.73,5,49,1,1,0,99,3,28,2.0,1
238,39.0,Male,USA,Support,Lead,12,45970.0,8,0.87,4,47,1,0,1,87,2,13,3.4,0
239,39.0,Female,USA,Marketing,Mid,18,62499.0,8,1.0,4,53,0,0,1,42,4,28,3.0,0
240,23.0,Other,Canada,Sales,Mid,18,98151.0,3,0.86,4,38,1,0,0,81,4,8,3.0,1
241,56.0,Other,India,Marketing,Junior,0,149299.0,1,0.91,1,35,0,0,0,72,2,29,2.6,0
242,37.0,Female,India,Sales,Lead,5,40113.0,1,0.74,5,42,1,1,0,23,4,14,1.3,0
243,57.0,Other,USA,Support,Lead,11,79448.0,2,0.41,1,56,0,0,1,94,0,19,3.4,0
244,54.0,Male,Canada,Sales,Senior,18,141782.0,6,0.98,3,50,1,1,0,92,3,2,4.4,0
245,25.0,Female,Germany,Sales,Senior,18,140745.0,9,0.86,1,45,1,0,0,46,0,19,4.1,0
246,54.0,Other,UK,Marketing,Mid,13,146552.0,6,0.58,5,57,0,1,1,27,4,8,4.0,0
247,35.0,Female,USA,Sales,Lead,6,126203.0,3,0.49,1,56,1,0,0,16,0,4,4.2,1
248,42.0,Female,UK,Development,Junior,16,44274.0,3,0.43,2,56,1,0,1,83,4,18,2.6,0
249,41.0,Female,USA,Development,Junior,12,,7,0.45,3,38,0,0,0,13,2,15,3.8,0
250,,Female,Canada,Support,Mid,9,136204.0,3,0.64,5,41,1,1,0,82,4,28,4.6,0
251,28.0,Female,India,Development,Senior,13,134595.0,8,0.44,3,54,1,1,0,25,4,25,4.7,0
252,24.0,Male,Germany,Marketing,Junior,18,132799.0,7,0.77,2,37,1,0,1,59,2,1,2.1,0
